"Id Estoque";"Contratante";"Tipo Equipamento";"Modelo";"Número de Série";"Patrimônio";"Versão de Software";"Quantidade";"Situação Estoque";"Prestador de Serviços";"Técnico";"Data de Retirada EC";"Último Cliente";"Data Ultima OM";"Reciclado";"Kit Modelo";"DOA";"DOA Aging";"BAD Aging";"Prestador Aging";"Técnico Aging";"OM - Data Recebimento";"Cod. Cliente";"Cliente";"Setor";"Triagem Defeito Constatado";"OM - Última Recebida";"New Good";"Demanda";"Última OS";"OS - Data Atendimento";"Limpeza Técnica";"Data Modificação";"Localização";"Data de Entrega ao Técnico";"AGE";"Triagem - Solução";"Prestador Responsável"
"3045794";"VENDAS";"GPRS-WIFI";"Link 2500";="192396913191040730614828";"";"";"1";"GOOD";"CLIENTE";"";"";"";"28/01/2022 14:45:22";"Não";"";"NAO";"";"";"671";"";"28/01/2022 14:45:22";"";"";"";"";"457664";"";"";"";"";"NÃO";"28/01/2022 14:45:24";"";"";"";"";""
"6876173";"VENDAS";"GPRS-WIFI";"Link 2500";="913181046505060063";"";"";"1";"GOOD";"PAYTEC - ESTOQUE VENDA";"";"";"";"09/04/2022 12:42:53";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"505099";"";"";"";"";"NÃO";"23/05/2023 15:09:56";"";"";"";"";""
"2592400";"STONE MEI";"GPRS-WIFI";"Link 2500";="191756913111127330236612";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/10/2019 00:00:00";"";"";"";"";""
"2592401";"STONE MEI";"GPRS-WIFI";"Link 2500";="191756913111127330236625";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/10/2019 00:00:00";"";"";"";"";""
"2206171";"STONE MEI";"GPRS-WIFI";"Link 2500";="190596913111127306395463";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/10/2019 00:00:00";"";"";"";"";""
"2206172";"STONE MEI";"GPRS-WIFI";"Link 2500";="190596913111127306395467";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/10/2019 00:00:00";"";"";"";"";""
"2206174";"STONE MEI";"GPRS-WIFI";"Link 2500";="190596913111127306395472";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/10/2019 00:00:00";"";"";"";"";""
"2206203";"STONE MEI";"GPRS-WIFI";"Link 2500";="190596913111127306396273";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/10/2019 00:00:00";"";"";"";"";""
"2370191";"TON";"GPRS-WIFI";"Link 2500";="191406913111127306886858";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"RICARDO DA SILVEIRA DE OLIVEIRA ";"";"";"";"Não";"";"NAO";"";"";"1553";"1344";"30/08/2019 08:14:21";"";"";"";"";"";"";"";"";"";"NÃO";"27/03/2020 00:00:00";"";"";"";"";"ADM - MOBYAN"
"2588402";"STONE MEI";"GPRS-WIFI";"Link 2500";="191586913111127330120764";"";"";"1";"GOOD";"CD FLASH COURIER";"SILVIO JOSE DA SILVA NETO";"";"";"";"Não";"";"NAO";"";"";"";"1403";"";"";"";"";"";"";"";"";"";"";"NÃO";"28/01/2020 00:00:00";"";"";"";"";"ADM - MOBYAN"
"2550288";"STONE MEI";"GPRS-WIFI";"Link 2500";="191196913111127306732789";"";"";"1";"GOOD";"CD FLASH COURIER";"LUCAS RENAN MARTINS ARAUJO";"";"";"";"Não";"";"NAO";"";"";"";"1383";"";"";"";"";"";"";"";"";"";"";"NÃO";"17/02/2020 00:00:00";"";"";"";"";"ADM - MOBYAN"
"2112429";"STONE MEI";"GPRS-WIFI";"Link 2500";="190286913111127306256924";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/10/2019 00:00:00";"";"";"";"";""
"2112461";"STONE MEI";"GPRS-WIFI";"Link 2500";="190286913111127306257035";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/10/2019 00:00:00";"";"";"";"";""
"2112465";"STONE MEI";"GPRS-WIFI";"Link 2500";="190286913111127306257051";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/10/2019 00:00:00";"";"";"";"";""
"2112467";"STONE MEI";"GPRS-WIFI";"Link 2500";="190286913111127306257055";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/10/2019 00:00:00";"";"";"";"";""
"2110617";"TON";"GPRS-WIFI";"Link 2500";="190286913111127306258159";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"MARCOS HENRIQUE DE OLIVEIRA";"";"";"";"Não";"";"NAO";"";"";"";"1344";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/03/2020 00:00:00";"";"";"";"";"MHO"
"2112504";"TON";"GPRS-WIFI";"Link 2500";="190286913111127306257184";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"GILLIARD C DA SILVA";"";"";"";"Não";"";"NAO";"";"";"1667";"1344";"08/05/2019 09:32:06";"5c88b849bb57130d0c77edad";"ALEX SANDRO BARROS Rodrigues moreira";"";"";"";"";"";"";"";"NÃO";"27/03/2020 00:00:00";"";"";"";"";"ADM - MOBYAN"
"2007105";"STONE MEI";"GPRS-WIFI";"Link 2500";="183036913111127305886641";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/10/2019 00:00:00";"";"";"";"";""
"2006990";"STONE MEI";"GPRS-WIFI";"Link 2500";="183046913111127305890655";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/10/2019 00:00:00";"";"";"";"";""
"2112315";"STONE MEI";"GPRS-WIFI";"Link 2500";="190286913111127306256410";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/10/2019 00:00:00";"";"";"";"";""
"2112373";"STONE MEI";"GPRS-WIFI";"Link 2500";="190286913111127306256721";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/10/2019 00:00:00";"";"";"";"";""
"2112309";"STONE MEI";"GPRS-WIFI";"Link 2500";="190286913111127306256389";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/10/2019 00:00:00";"";"";"";"";""
"2112312";"STONE MEI";"GPRS-WIFI";"Link 2500";="190286913111127306256402";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/10/2019 00:00:00";"";"";"";"";""
"2006358";"TON";"GPRS-WIFI";"Link 2500";="183526913111127306094999";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"5c77932a445f4e707db78318";"alexandre amadeo cardoso fratiano";"";"";"";"";"";"";"";"NÃO";"27/03/2020 00:00:00";"";"";"";"";""
"2007042";"STONE MEI";"GPRS-WIFI";"Link 2500";="183046913111127305891080";"";"";"1";"GOOD";"SP-STONE PAGAMENTOS";"";"";"";"";"Não";"";"NAO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NÃO";"27/10/2019 00:00:00";"";"";"";"";""
